PROJECT,DATE, DESCRIPTION , TYPE ,RECIPT TYPE,RECIPT NUMBER,NO. ITEMS, UNIT COST , TOTAL COST 
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/9/2023,PAYROLL ADJUST,Labor,VC,CV0923-24,1,1113.01,1113.01
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/9/2023,FRP PAKYAW,Labor,VC,CV0923-25,1,90000,90000
ADMIN,9/9/2023,PCF VARIOUS PURCHASES SEPTEMBER 4-10,Misc. Admin,VC,CV0923-31,1,4759.3,4759.3
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/9/2023,PAYROLL AUG.28 - SEPT. 3,Labor,,,1,47203.68,47203.68
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",9/9/2023,PAYROLL AUG.28 - SEPT. 3,Labor,,,1,52408.89,52408.89
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/9/2023,PAYROLL AUG.28 - SEPT. 3,Labor,,,1,104691.6,104691.6
21054297 (XRF CHILLER ROOM EXPASNION),9/9/2023,PAYROLL AUG.28 - SEPT. 3,Labor,,,1,12930.44,12930.44
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/9/2023,PAYROLL AUG.28 - SEPT. 3 (SCAFFOLDERS),Materials,,,1,16571.42,16571.42
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/9/2023,PAYROLL AUG.28 - SEPT. 3 (SCAFFOLDERS),Materials,,,1,7102.04,7102.04
ADMIN,9/9/2023,PAYROLL AUG.28 - SEPT. 3 (OVERHEAD),Overhead payroll,,,1,43993.77,43993.77
ADMIN,9/9/2023,PAYROLL AUG.28 - SEPT. 3 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,9/9/2023,PAYROLL AUG.28 - SEPT. 3 (SAKI),Overhead payroll,,,1,9100,9100
ADMIN,9/12/2023,SAFETY GOOGLES,PPE,VC,CV0923-32,1,2448.17,2448.17
ADMIN,9/12/2023,DANGER TAPE,Misc. Admin,VC,CV0923-33,1,1200,1200
ADMIN,9/12/2023,TARP. PRINTING,Misc. Admin,VC,CV0923-33,1,1620,1620
ADMIN,9/12/2023,VAROUS OFFICE SUPPLIES,Office Supply,VC,CV0923-33,1,2987,2987
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/13/2023,TESTING,Materials,VC,CV0923-34,1,2500,2500
ADMIN,9/14/2023,ASSORTED PPE,PPE,VC,CV0923-35,1,12920,12920
ADMIN,9/14/2023,FUELS,Fuels,VC,CV0923-36,1,1000,1000
ADMIN,9/15/2023,ELECTRIC BILL,Power Utility,VC,CV0923-37,1,10123.72,10123.72
ADMIN,9/16/2023,TORQUE WRENCH,Tools and Equip,VC,CV0923-38,1,13500,13500
ADMIN,9/16/2023,PCF VARIOUS PURCHASES SPET. 11-17,Misc. Admin,VC,CV0923-43,1,5663.5,5663.5
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/16/2023,PAYROLL SEP. 4 - 10,Labor,,,1,51030.69,51030.69
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",9/16/2023,PAYROLL SEP. 4 - 10,Labor,,,1,64431.84,64431.84
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/16/2023,PAYROLL SEP. 4 - 10,Labor,,,1,122161.17,122161.17
21054297 (XRF CHILLER ROOM EXPASNION),9/16/2023,PAYROLL SEP. 4 - 10,Labor,,,1,15991.62,15991.62
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/16/2023,PAYROLL SEP. 4 - 10 (SCAFFOLDERS),Materials,,,1,17096.94,17096.94
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/16/2023,PAYROLL SEP. 4 - 10 (SCAFFOLDERS),Materials,,,1,7327.26,7327.26
ADMIN,9/16/2023,PAYROLL SEP. 4 - 10 (OVERHEAD),Overhead payroll,,,1,43937.87,43937.87
ADMIN,9/16/2023,PAYROLL SEP. 4 - 10 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,9/16/2023,PAYROLL SEP. 4 - 10 (SAKI),Overhead payroll,,,1,7800,7800
ADMIN,9/19/2023,SAFETY SHOES / FILTERS,PPE,VC,CV0923-44,1,4950,4950
ADMIN,9/21/2023,OFFICE SUPPLIES,Office Supply,VC,CV0923-45,1,1063,1063
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/21/2023,MATERIALS,Materials,VC,CV0923-45,1,1064,1064
ADMIN,9/21/2023,ASSOTED PPE,PPE,VC,CV0923-46,1,12773.84,12773.84
ADMIN,9/21/2023,FUELS,Fuels,VC,CV0923-47,1,1000,1000
ADMIN,9/21/2023,LOAN INTEREST,Misc. Admin,VC,CV0923-48,1,125000,125000
ADMIN,9/21/2023,LOAN INTEREST,Misc. Admin,VC,CV0923-49,1,40000,40000
ADMIN,9/21/2023,ASSOTED PPE,PPE,VC,CV0923-50,1,6790,6790
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/22/2023,TESTING,Misc. Operation,VC,CV0923-51,1,2500,2500
ADMIN,9/22/2023,ALTERNATOR ASSEMBLY STRADA,Repair & Maintenance,VC,CV0923-52,1,12400,12400
ADMIN,9/23/2023,PCF VARIOUS PURCHASES SEPT. 18 - 24,Misc. Admin,VC,CV0923-57,1,3203,3203
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/23/2023,PAYROLL SEPT. 11 - 17,Labor,,,1,39553.83,39553.83
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",9/23/2023,PAYROLL SEPT. 11 - 17,Labor,,,1,52741.39,52741.39
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/23/2023,PAYROLL SEPT. 11 - 17,Labor,,,1,81346.5,81346.5
21054297 (XRF CHILLER ROOM EXPASNION),9/23/2023,PAYROLL SEPT. 11 - 17,Labor,,,1,15222.27,15222.27
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/23/2023,PAYROLL SEPT. 11 - 17 (SCAFFOLDER),Materials,,,1,9976.91,9976.91
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/23/2023,PAYROLL SEPT. 11 - 17 (SCAFFOLDER),Materials,,,1,9976.91,9976.91
ADMIN,9/23/2023,PAYROLL SEPT. 11 - 17 (OVERHEAD),Overhead payroll,,,1,44020.9,44020.9
ADMIN,9/23/2023,PAYROLL SEPT. 11 - 17 (UTILITIES),Overhead payroll,,,1,3100,3100
ADMIN,9/23/2023,PAYROLL SEPT. 11 - 17 (SAKI),Overhead payroll,,,1,7800,7800
ADMIN,9/25/2023,CUTTING AND GRINDING DISC,Materials,VC,CV0923-58,1,1000,1000
ADMIN,9/26/2023,SAFETY HARNESS 10PCS FROM USAFE,PPE,VC,CV0923-59,1,36541.52,36541.52
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/27/2023,TESTING,Materials,VC,CV0923-60,1,2500,2500
ADMIN,9/28/2023,UNRETURNED RFID,Misc. Admin,VC,CV0923-61,1,1200,1200
ADMIN,9/30/2023,COTTON FILTER,PPE,VC,CV0923-62,50,70,3500
ADMIN,9/29/2023,PRINTER INK,Office Supply,VC,CV0923-63,1,2100,2100
ADMIN,9/30/2023,ASSORTED PPE,PPE,VC,CV0923-64,1,17570,17570
ADMIN,9/30/2023,BOOKEEPING SERVICES,Misc. Admin,VC,CV0923-65,1,3000,3000
ADMIN,9/30/2023,WELDING MACHINE CALIBRATE,Repair & Maintenance,VC,CV0923-66,4,2000,8000
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/30/2023,CLADDING PAKYAW,Labor,VC,CV0923-67,1,7000,7000
ADMIN,9/30/2023,RATE ADJUSTMENT,Overhead payroll,VC,CV0923-68,1,1707.71,1707.71
ADMIN,9/30/2023,PCF VARIOUS PURCHASES SEPTEMBER 25-30,Misc. Admin,VC,CV0923-73,1,3905.75,3905.75
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/30/2023,PAYROLL SEPTEMBER 18 - 24,Labor,,,1,27106.32,27106.32
"21051923 (SERVICE REQUEST FOR REPAIR OF SUBSTATION WALLINGS, CEILINGS AND ROOFINGS UNDER FSF A)",9/30/2023,PAYROLL SEPTEMBER 18 - 24,Labor,,,1,35483.79,35483.79
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/30/2023,PAYROLL SEPTEMBER 18 - 24,Labor,,,1,85212.4,85212.4
21054297 (XRF CHILLER ROOM EXPASNION),9/30/2023,PAYROLL SEPTEMBER 18 - 24,Labor,,,1,5278.42,5278.42
21050752 (SERVICE REQUEST FOR REPLACEMENT OF DISCHARGE PIPE OF TRANSFER PUMP PAST AREA GOING TO MAST AREA),9/30/2023,PAYROLL SEPTEMBER 18 - 24 (SCAFFOLDER),Materials,,,1,8021.7,8021.7
21051723 (UPGRADE OF BURNER SYSTEM FOR PREHEATER 1 FURNACE),9/30/2023,PAYROLL SEPTEMBER 18 - 24 (SCAFFOLDER),Materials,,,1,8021.7,8021.7
ADMIN,9/30/2023,PAYROLL SEPTEMBER 18 - 24 (OVERHEAD),Overhead payroll,,,1,37195.51,37195.51
ADMIN,9/30/2023,PAYROLL SEPTEMBER 18 - 24 (UTILITITES),Overhead payroll,,,1,3100,3100
ADMIN,9/30/2023,PAYROLL SEPTEMBER 18 - 24 (SAKI),Overhead payroll,,,1,7800,7800
